# Contracted plant load factor and project cost, one row per listed ticker.
# Hand-entered. This file is the only place these figures come from -- nothing
# here is derived, and nothing is inferred from the fleet.
#
# An EMPTY ContractPLF means not available. It does not mean zero, and it must
# not be filled with a fleet average or a number from a similar plant: the whole
# point of the column is to compare a plant against its own contract. A plant
# with no figure is reported as a dash and left out of any shortfall statistic.
#
# ContractPLF   percent, as the source states it (62.16, not 0.6216)
# ContractEnergy annual contracted energy in GWh
# DryPct        dry-season share of contracted energy, percent
# CostPerMW     total project cost per MW, NPR million
# Source        icra | care | infomerics | prospectus | operator-model | annual-report
# SourceUrl     the document the figure was read from. Pre-filled with the newest
#               ICRA rationale where one exists, so filling a row is a click.
# Note          anything a later reader needs, especially why a cell is blank.
#
# Do not enter a figure you have not seen in the document named in SourceUrl.
# DesignEnergy  mean annual / saleable energy in GWh, from the operator's own
#               project page. NOT the PPA contract: it is the engineering design
#               figure, and the two are close but not the same thing, so they
#               live in separate columns and are never merged.
# DesignPLF     DesignEnergy / (MW x 8760 h), percent. Derived, not quoted.
# DesignUrl     the operator page the energy figure was read from.
Ticker,Company,ContractPLF,ContractEnergy,DryPct,CostPerMW,Source,SourceUrl,Note,DesignEnergy,DesignPLF,DesignUrl
AHL,Asian Hydropower Limited,66.14,35.920,15.33,211.5,prospectus,https://www.sebon.gov.np/uploads/2022/12/12/tGZVHHWlrD5Hcd63APwnBmuVmU3lQr5yEWxPnDC3.pdf,"Original SEBON IPO prospectus (approved 2079/08/07) states monthly energy table total: annual contract energy 3,59,20,429 kWh (wet 3,04,14,592 / dry 55,05,837) on 6.2 MW; total project cost Rs 1,31,15,30,000 = Rs 21,15,37,097/MW. Prior CARE URL in this row was wrong (cited Asian Batteries Limited, an unrelated company) -- corrected.",,,
AHPC,Arun Valley Hydropower Development,,,,,,https://www.careratingsnepal.com/upload/CompanyFiles/PR/202511081120_Arun_Kabeli_Power_Limited_-_Issuer_Rating_Assigned_and_Bank_Facilities_Rating_Reaffirmed.pdf,"document read, states no contracted PLF",,,
AKJCL,Ankhu Khola Jalvidhyut Company Ltd.,63,,,281,icra,https://www.icranepal.com/wp-content/uploads/2019/11/17.-Rationale_Aankhu-Khola_July-2017_Final.pdf,"IPO grading (Jul 2017): annual design/contract energy PLF ~63% (~61% for the 9-month period quoted alongside it, not a second contracted figure). A later 2021 CARE withdrawal notice states no PLF -- the number lives in the original IPO-era grading, not surveillance updates.",,,
AKPL,Arun Kabeli Power Ltd.,,,,180,care,https://www.careratingsnepal.com/upload/CompanyFiles/PR/202511081120_Arun_Kabeli_Power_Limited_-_Issuer_Rating_Assigned_and_Bank_Facilities_Rating_Reaffirmed.pdf,"document read, states no contracted PLF. Cost is a rough range midpoint: NPR 4.0bn IPO-prospectus estimate rising to ~NPR 5.0bn at commissioning for the 25 MW Kabeli B1 HEP implies 160-200/MW; 180 used as the midpoint, not a single cited figure.",151.65,69.25,
APHL,Appolo Hydropower Limited,64.73,34.022,16.56,228.7,prospectus,https://sebon.gov.np/uploads/2026/03/25/4pPvKXdrdDDNPoSSqs88CORy3n6DmRTxLNCG4H09.pdf,"Original SEBON IPO prospectus gives a dedicated annual-energy-by-season table for the Buku Khola HEP (6 MW): dry 5,634,687 / wet 28,387,331 / total 34,022,018 kWh. Total project cost incl. IDC Rs 1,372,039 thousand = Rs 228.7m/MW, replacing the earlier rough CARE-doc estimate of 236.",,,
API,Api Power,,,,,,,no CARE press release found; Upper Chameliya alone is stated at 264.1 million units; company also owns Naugad and Upper Naugad Gad,,,
BARUN,Barun Hydropower,,,,,,https://www.careratingsnepal.com/upload/CompanyFiles/PR/202604110409_Barun_Hydropower_Company_Limited_-_Issuer_Rating_Revised.pdf,"document read, states no contracted PLF",,,
BEDC,Bhugol Energy Development Company Limited,63.11,20.732,19.01,195.2,prospectus,https://sebon.gov.np/uploads/2023/02/20/uXDK1qrNHVVvLCran7GaX3DHKNFUw5X1uqlDq4zN.pdf,"Original SEBON IPO prospectus (approved 2079/10/17) gives the annual energy table used as the RMS/PPA benchmark each year against actual generation: dry 3,940,669 kWh + wet 16,791,136 kWh = 20,731,805 kWh total on 3.75 MW. As-built total project cost (IDC incl.) Rs 73,19,78,808 = Rs 195.19m/MW, replacing the earlier rough ICRA-doc estimate of 196.",,,
BGWT,Bhagawati Hydropower Development Company Limited,73.02,28.793,30.55,177.1,prospectus,https://www.sebon.gov.np/uploads/2023/08/20/xu9ehN2tYcWrb7TIxr4vicc67dzX4Cx8ZQzpCNJ6.pdf,"Original SEBON IPO prospectus gives the PPA's annual contract energy directly: 28,793,054 kWh (wet 8mo 19,994,510 / dry 4mo 8,798,544) on 4.5 MW (Bijaypur-1 SHP). Total project cost incl. IDC Rs 79,68,29,818.68 = Rs 177.1m/MW.",,,
BHCL,Bikash Hydropower Company Limited,,,,246,icra,https://www.icranepal.com/wp-content/uploads/2023/11/A.442-Bikash-Hydropower-Company-Limited-_Fresh-IR-BLR_October-2023_Final-.pdf,"document reads 79%, outside the 55-75% band every verified contract falls in - check the PDF before using it",,,
BHDC,Bindhyabasini Hydropower Development Company Limited,,,,,,,no CARE press release found,,,
BHL,Balephi Hydropower Limited,65,,,227,icra,https://www.icranepal.com/wp-content/uploads/2025/10/A.1339-Balephi-Energy_Fresh-BLR_September-2025_Final.pdf,contracted PLF as stated in the document,,,
BHPL,Barahi Hydropower Public Limited,62.56,,,,care,https://www.careratingsnepal.com/upload/CompanyFiles/PR/202607090721_Barahi_Hydropower_Public_Limited_-_Issuer_Rating_Reaffirmed.pdf,contracted PLF as stated in the document,,,
BJHL,Bhujung Hydropower Limited,64,,,210,icra,https://www.icranepal.com/wp-content/uploads/2023/08/A.366-Bhujung-Hydropower-Limited_Fresh-IR-and-BLR-Surveillance_July-2023-Final.pdf,contracted PLF as stated in the document,,,
BNHC,Buddha Bhumi Nepal Hydropower Company Limited,73,32,23,197,icra,https://www.icranepal.com/wp-content/uploads/2019/11/72.-Rationale_Buddhabhumi-Nepal-Hydropower_IPO-Grading_May-2019_Final.pdf,"IPO grading (May 2019) for the 4.993 MW Lower Tadi Khola HPP: 'contract PLF of the project is ~73% with an annual production capacity of ~32 GWh of energy', dry energy mix ~23%. Cost NPR 197m/MW.",,,
BPCL,Butwal Power,,,,,,,no CARE press release found,,,
BUNGAL,Bungal Hydro Limited ,66.9,,,284,care,https://www.careratingsnepal.com/upload/CompanyFiles/PR/202607110726_Bungal_Hydro_Limited_-_Issuer_Rating_Reaffirmed.pdf,contracted PLF as stated; document prints it as 66.9 and 79,,,
