PlantId,PlantName,Capacity_MW,Ticker,DesignPLF_pct,CostPerMW_NPRm,Status
8,Aandikhola HP,9.40,BPCL,,,"Design PLF exists (83.0%) but not entered -- outside plausible band, nameplate uprated 5.1->9.4 MW in 2015, energy figure and nameplate not from one design basis"
33,Jhimruk,12.00,BPCL,68.5,,No cost figure found (1994 UMN-built plant, not meaningful to compare)
63,Khani Khola,2.00,KKHC,57.9,,"No SEBON IPO prospectus found (predates SEBON's online archive); original 2015 IPO grading read directly, no PLF stated"
64,Tungun - Thosne Khola,4.36,KKHC,57.9,,"No SEBON IPO prospectus found (predates SEBON's online archive); original 2015 IPO grading read directly, no PLF stated"
71,Sabha Khola HPP,4.00,DHPL,,211,"No SEBON IPO prospectus exists (predates SEBON's online archive); no newer post-operational rating document found either. A WebSearch summary quoted 21.78 GWh but was not entered -- no primary document to verify it against"
95,Super Mai Khola Cascade HPP,3.00,MKHL,,203.8,"Cost confirmed from the original SEBON IPO prospectus (scanned-image PDF, read as rendered page images). The same document's PPA energy table reads consistently across four independent render settings (200/600/900/1200 dpi) but implies an annual total ~2.2x the plant's own theoretical maximum -- almost certainly a data-entry error in the source document, left blank rather than enter a figure known to be wrong"
98,Iwa Khola,9.90,RIDI,,196,"SEBON's only filing found is a 2024 rights-issue prospectus with no project technical data. Company-identity ambiguity (Rairang Hydropower Dev. Co. vs Ridi Power Co.) also noted previously -- deliberately unresolved"
102,Kabeli B - 1,25.00,AKPL,69.2,180,"SEBON's only filing found is a rights-issue prospectus with no project technical data. Cost is a rough range midpoint, not a single cited figure"
115,Upper Tamakoshi HPP,456.00,UPPER,57.1,144,"2023 SEBON rights-issue prospectus read directly -- no PPA energy table found, likely because it's sold under NEA's own institutional arrangement rather than a standard private take-or-pay PPA (same pattern as Rasuwagadhi and Sanjen below)"
120,Lower Modi Khola,20.00,MEL,66.8,310.3,"Original SEBON IPO prospectus read directly -- cost refined to 310.3/MW, no PPA energy table found. Distinct company from UMHL (Lower Modi-1), do not confuse"
130,Nyadi,30.00,NYADI,64.1,203.9,"Original SEBON IPO prospectus read directly -- cost refined to 203.9/MW, no PPA energy table found"
158,Upper Sanjen,14.80,SJCL,63.6,126,"Original SEBON IPO prospectus read directly -- no PPA energy table found (same institutional-PPA pattern as Upper Tamakoshi/Rasuwagadhi). Cost is a pro-rata split of a combined two-plant figure, not an audited per-project cost"
167,Upper Mailun Khola,14.30,MMKJL,63.6,174.8,"Original SEBON IPO prospectus read directly -- cost confirmed at 174.8/MW, but the prospectus never states a contract/annual energy figure anywhere in the document"
179,Sanjen,42.50,SJCL,65.0,126,"Same prospectus as Upper Sanjen (158) -- no PPA energy table found. Cost is the same pro-rata split, not an audited per-project cost"
180,Rasuwagadhi HPP,111.00,RHPL,63.1,186.1,"2023 SEBON rights-issue prospectus read directly -- cost refined to 186.1/MW, no PPA energy table found (institutional NEA sale structure, not a standard private PPA)"
186,Upper Lohore SHP,4.00,ULHC,60.6,236.8,"Original SEBON IPO prospectus read directly -- cost now confirmed at 236.8/MW, no PPA energy table found"
190,Madhya Bhotekoshi HPP,102.00,MBJC,60.7,166.4,"Original SEBON IPO prospectus read directly -- cost now confirmed at 166.4/MW, no PPA energy table found"
197,Upper Piluwa 3 HPP,4.95,MABEL,,189,"Now commissioned (RMS shows generation from Aswin 2082 / ~Sept 2025), but the latest published rating (ICRA, June 2025) predates COD and states no PLF. Nothing newer indexed yet -- watch for the next surveillance cycle"
198,Buku-Kapati HPP,5.00,HIMSTAR,,218,"Now commissioned (RMS shows generation from Kartik 2082 / ~Nov 2025), but the latest published rating (ICRA, March 2025) predates COD and states no PLF. Nothing newer indexed yet -- watch for the next surveillance cycle"
10,Indrawati 3,7.50,NHPC,76.1,411,"Design PLF entered as an upper bound only -- 1999-vintage PPA predates dry/wet contract format. SEBON's only filing is a rights-issue prospectus with no project technical data"
201,Daram Khola HEP,9.60,DHEL,,247.9,"Original SEBON IPO prospectus read directly -- cost refined to 247.9/MW, no PPA energy table found. Only Infomerics Nepal rates this company, no ICRA or CARE"
