# Contracted PLF, contract energy, dry-season split and project cost, one row
# per plant. Unlike scalper_plf_input.csv (which applies one figure to every
# plant a ticker runs), this is plant-level: sourced from a project-wise
# workbook, keyed to a specific RMS PlantId, and used as an override wherever
# the two disagree in granularity -- a company with several plants does not
# run them all at the same load factor.
#
# Every row is cross-checked against RMS on three independent signals before
# being kept: installed capacity, the CompanyId text on the plant register
# page, and (where one exists) the ticker->plant lookup already verified in
# scalper_company_map.csv. A name match on its own was not trustworthy enough
# -- it silently produced four wrong plants during construction of this file:
# Sardi Khola/Mardi Khola-style collisions, the same trap already documented
# in README.md for the coordinate matcher. See the Note column for each.
#
# 11 rows from the source workbook are not here at all: four are solar
# (outside a hydropower royalty register), one project is not yet operating,
# two source rows describe the same 32 MW plant split into figures RMS does
# not carry separately, two plants could not be matched to the register by
# any of the three checks above, one row duplicates another under a second
# ticker, and one row (Kali Gandaki Gorge, 180 MW) attributes NEA's
# largest plant to a small IPP -- almost certainly a copy/paste error in the
# source file, not published here.
#
# ContractPLF    percent, as the source file states it
# ContractEnergy contracted annual energy, GWh
# DryPct         dry-season share of contracted energy, percent
# CostPerMW      total project cost per MW, NPR million
# LicenseBS/ExpiryBS/CodBS/RCodBS  licence and commissioning dates, Bikram
#                Sambat, as given in the source. Not yet cross-checked against
#                the register's own dates and not yet used anywhere on the
#                dashboard -- kept for a future pass, not dead weight.
# Note           why this PlantId, or (for a reattributed row) why the source
#                file's own ticker was wrong
# DesignEnergy/DesignPLF/DesignUrl  same meaning as in scalper_plf_input.csv --
#                the operator's own engineering figure, not a PPA contract
#                figure -- needed here because a multi-plant ticker's plants
#                can differ on this axis exactly as they can on ContractPLF.
PlantId,PlantName,SourceTicker,SourceProject,ContractPLF,ContractEnergy,DryPct,CostPerMW,LicenseBS,ExpiryBS,CodBS,RCodBS,Note,DesignEnergy,DesignPLF,DesignUrl
5,Piluwa Khola HP,AHPC,Piluwa Khola HEP,58.81,15.455,25.89,,2057/05/05,2097/04/30,2060/06/01,2062/05/05,company map,,,
36,Hewa Khola HP,BARUN,Hewa Khola,41.71,18.808,18.44,137.2,2065/01/22,2100/01/21,2068/04/21,,company map,,,
42,Tadikhola HP,MEN,Tadi Khola,82.8,32.64,21.89,151.0,2068/08/13,2106/08/05,2069/12/14,2073/08/13,RMS company 'Mountain Energy Nepal Ltd.' matches MEN exactly; RMS lists 5.0 MW against 4.5 MW filed,,,
47,Charnawati khola HP,NHDL,Sardi Khola,53.88,16.615,16.87,191.0,2067/08/17,2102/08/16,2076/11/17,2072/08/17,"RMS registers this plant as 'Charnawati khola HP', not 'Sardi Khola' -- capacity 3.52 MW and RMS company 'Nepal Hydro Developer Ltd.' (NHDL) confirm it",,,
48,Upper Hugdi,RURU,Upper Hugdi,64.52,28.26,19.43,148.9,2069/04/20,2104/04/29,2071/12/09,2074/04/20,company map,,,
52,Radhi Small,RADHI,Radhi Small Hydropower Project,65.0,25.054,15.0,139.0,2065/02/09,2103/01/27,2071/02/28,2070/02/09,company map,,,
55,Mailung Khola,MKJC,Mailung Khola,84.87,37.173,18.0,180.6,2060/12/03,2094/12/30,2071/03/19,2065/12/03,company map,,,
61,Nau gad khola,API,Naugarh Gad Hydroelectric Project,69.78,51.955,,,2069/03/31,2104/03/30,2072/05/02,2074/03/31,company map + capacity,,,
76,Jogmai Khola,SANVI,Jogmai Khola,63.73,42.431,13.14,,2069/12/29,2104/12/28,2074/01/18,2074/12/29,company map,,,
78,Molun Khola SHP,MHCL,Molung Khola,58.27,35.729,16.3,208.4,2071/06/02,2106/06/01,2074/12/12,2076/06/02,capacity 7.0 MW and RMS company 'Molun Hydropower Co.' match MHCL,,,
83,Madkyu Khola,SIKLES,Madkyu Khola,64.79,73.778,15.13,178.3,2070/11/21,2105/11/20,2074/12/19,2075/11/21,company map,,,
87,Super Mai HPP,SMH,Mai Khola,69.37,47.398,15.0,190.8,2073/11/30,2108/11/29,2075/07/11,2077/04/01,RMS registers this plant as 'Super Mai HPP'; capacity 7.8 MW and RMS company 'Supermai Hydropower' confirm it's SMH's,,,
88,Rudi A,BHDC,Rudhi Khola A,60.8,46.871,15.0,176.7,2070/09/12,2105/09/11,2075/12/05,2075/09/12,capacity 8.8 MW and RMS company 'Bindhabasini Hydropower' match,,,
93,Rudi Khola-B,BHDC,Rudhi Khola B,57.44,33.212,15.0,203.0,2074/02/26,2109/08/25,2076/11/05,2079/02/26,capacity 6.6 MW and RMS company 'Bindhabasini Hydropower' match,,,
